Statement,Link,Date,Source,Label
“Chinese military convoy enters Ukraine from Russia.”,https://www.politifact.com/factchecks/2022/sep/22/facebook-posts/no-isnt-video-chinas-army-entering-ukraine/,“Chinese military convoy enters Ukraine from Russia.”,FALSE,
Photo shows fighting in Ukraine.,https://www.politifact.com/factchecks/2022/sep/22/viral-image/old-photo-military-exercise-used-illustrate-story-/,Photo shows fighting in Ukraine.,FALSE,
"Says under his plan to end cash bail ""the Waukesha perpetrator wouldn’t have been released """,https://www.politifact.com/factchecks/2022/sep/22/mandela-barnes/barnes-plan-end-cash-bail-wouldnt-necessarily-have/,"Says under his plan to end cash bail ""the Waukesha perpetrator wouldn’t have been released """,mostly-true,
“Lifeguard/football player Joe Biden got five draft deferments for asthma during Vietnam.”,https://www.politifact.com/factchecks/2022/sep/21/facebook-posts/biden-didnt-use-health-excuses-dodge-draft/,“Lifeguard/football player Joe Biden got five draft deferments for asthma during Vietnam.”,barely-true,
"Video shows an ""invasion of crocodiles"" that has flooded the beaches of Brazil and caused residents to panic.",https://www.politifact.com/factchecks/2022/sep/21/instagram-posts/horde-crocodiles-have-not-invaded-brazil/,"Video shows an ""invasion of crocodiles"" that has flooded the beaches of Brazil and caused residents to panic.",FALSE,
"Every time a Republican has been elected president over the last few decades, House Democrats have objected to the result",https://www.politifact.com/factchecks/2022/sep/21/lee-zeldin/house-democrats-have-objected-presidential-electio/,"Every time a Republican has been elected president over the last few decades, House Democrats have objected to the result",mostly-true,
Martha’s Vineyard “deported 50 illegals after only 24 hours.”,https://www.politifact.com/factchecks/2022/sep/21/instagram-posts/claim-marthas-vineyard-deported-migrants-wrong/,Martha’s Vineyard “deported 50 illegals after only 24 hours.”,FALSE,
Meghan Markle wasn’t allowed to attend Queen Elizabeth II’s funeral.,https://www.politifact.com/factchecks/2022/sep/21/facebook-posts/meghan-markle-attended-queen-elizabeth-iis-funeral/,Meghan Markle wasn’t allowed to attend Queen Elizabeth II’s funeral.,FALSE,
"Once every thousand years “your age + your year of birth, every person = 2022.”",https://www.politifact.com/factchecks/2022/sep/21/viral-image/does-not-compute-math-problems-solution-isnt-once-/,"Once every thousand years “your age + your year of birth, every person = 2022.”",FALSE,
“Mandela Barnes…wants to release 50% of the prison population when 68% is classified as ‘violent offenders.’”,https://www.politifact.com/factchecks/2022/sep/21/national-republican-senatorial-committee/gop-group-misses-mark-claim-prison-population-redu/,“Mandela Barnes…wants to release 50% of the prison population when 68% is classified as ‘violent offenders.’”,half-true,
The World Economic Forum has called for the end of “wasteful private car ownership.”,https://www.politifact.com/factchecks/2022/sep/21/facebook-posts/world-economic-forum-did-not-say-people-shouldnt-o/,The World Economic Forum has called for the end of “wasteful private car ownership.”,barely-true,
Three court rulings since May 2022 “have made it clear that it is unconstitutional to ban someone between the ages of 18 and 20 from being able to buy an AR.”,https://www.politifact.com/factchecks/2022/sep/21/greg-abbott/experts-disagree-abbott-its-unconstitutional-raise/,Three court rulings since May 2022 “have made it clear that it is unconstitutional to ban someone between the ages of 18 and 20 from being able to buy an AR.”,barely-true,
"“With Proposition 1, the number of abortion seekers from other states will soar even higher, costing taxpayers millions more.”",https://www.politifact.com/factchecks/2022/sep/21/california-together-no-proposition-1/opponents-californias-abortion-rights-measure-misl/,"“With Proposition 1, the number of abortion seekers from other states will soar even higher, costing taxpayers millions more.”",barely-true,
"Martha’s Vineyard ""used the military to deport every last illegal migrant from their island.”",https://www.politifact.com/factchecks/2022/sep/20/instagram-posts/military-didnt-deport-immigrants-marthas-vineyard/,"Martha’s Vineyard ""used the military to deport every last illegal migrant from their island.”",FALSE,
Nostradamus “accurately predicted Queen Elizabeth II’s passing.”,https://www.politifact.com/factchecks/2022/sep/20/facebook-posts/nostradamus-didnt-predict-queen-elizabeth-ii-would/,Nostradamus “accurately predicted Queen Elizabeth II’s passing.”,FALSE,
Nancy Pelosi “almost burst out into laughter” at the Tsitsernakaberd Armenian Genocide Memorial Complex in Yerevan.,https://www.politifact.com/factchecks/2022/sep/20/viral-image/no-pelosi-didnt-laugh-armenian-genocide-memorial/,Nancy Pelosi “almost burst out into laughter” at the Tsitsernakaberd Armenian Genocide Memorial Complex in Yerevan.,FALSE,
"Says Tim Michels' family foundation ""funded an organization that tracks women when they get near abortion clinics … he wants to treat women like they're the criminals.""",https://www.politifact.com/factchecks/2022/sep/20/politifact-group/ad-base-claim-tim-michels-wants-treat-women-crimin/,"Says Tim Michels' family foundation ""funded an organization that tracks women when they get near abortion clinics … he wants to treat women like they're the criminals.""",barely-true,
Photo shows “Queen Elizabeth and Prince Charles” bowing to Ethiopian Emperor Haile Selassie I.,https://www.politifact.com/factchecks/2022/sep/20/viral-image/no-isnt-photo-queen-elizabeth-ii-and-prince-charle/,Photo shows “Queen Elizabeth and Prince Charles” bowing to Ethiopian Emperor Haile Selassie I.,FALSE,
"“This year, it's going to be over $1.5 trillion (that we’ve) reduced the debt.""",https://www.politifact.com/factchecks/2022/sep/20/joe-biden/joe-biden-leaves-out-context-60-minutes-comment-de/,"“This year, it's going to be over $1.5 trillion (that we’ve) reduced the debt.""",half-true,
“Supreme Court just voted to ban condoms.”,https://www.politifact.com/factchecks/2022/sep/20/instagram-posts/us-supreme-court-did-not-ban-condoms/,“Supreme Court just voted to ban condoms.”,FALSE,
90% of (state Sen. Tom Barrett's) donors are from special interests,https://www.politifact.com/factchecks/2022/sep/20/house-majority-pac/ad-confuses-donations-michigan-us-house-candidate-/,90% of (state Sen. Tom Barrett's) donors are from special interests,barely-true,
All banks will soon have to turn over all coins to federal government ahead of pivot to using only electronic transactions.,https://www.politifact.com/factchecks/2022/sep/19/facebook-posts/no-banks-are-not-being-forced-hand-over-physical-c/,All banks will soon have to turn over all coins to federal government ahead of pivot to using only electronic transactions.,FALSE,
"Under Kathy Hoffman, “student test scores plummeted. Even before COVID, under the current regime, over half of Arizona students were not proficient in reading or math.”",https://www.politifact.com/factchecks/2022/sep/19/tom-horne/attack-school-chief-kathy-hoffman-lacks-key-testin/,"Under Kathy Hoffman, “student test scores plummeted. Even before COVID, under the current regime, over half of Arizona students were not proficient in reading or math.”",barely-true,
Image shows a Rebekah Jones campaign event.,https://www.politifact.com/factchecks/2022/sep/19/matt-gaetz/gaetz-draws-misleading-comparison-jones-campaign-e/,Image shows a Rebekah Jones campaign event.,barely-true,
"Then-Vice President Mike Pence ""seized power"" from President Donald Trump and undertook ""a coup"" when he called on federal agencies to stop the Jan. 6 Capitol riot.",https://www.politifact.com/factchecks/2022/sep/19/mark-finchem/arizona-republican-said-pence-seized-power-trump-u/,"Then-Vice President Mike Pence ""seized power"" from President Donald Trump and undertook ""a coup"" when he called on federal agencies to stop the Jan. 6 Capitol riot.",pants-fire,
“The Simpsons” predicted Queen Elizabeth II’s 2022 death.,https://www.politifact.com/factchecks/2022/sep/19/viral-image/simpsons-didnt-predict-queens-death/,“The Simpsons” predicted Queen Elizabeth II’s 2022 death.,pants-fire,
"“Since 2019, I've successfully lobbied for the funds to add hundreds of school counselors, lowering our student to school counselor ratio by 20%.”",https://www.politifact.com/factchecks/2022/sep/19/kathy-hoffman/yes-kathy-hoffman-lobbied-hire-hundreds-counselors/,"“Since 2019, I've successfully lobbied for the funds to add hundreds of school counselors, lowering our student to school counselor ratio by 20%.”",TRUE,
A royal guard member collapsed because of the COVID-19 vaccine.,https://www.politifact.com/factchecks/2022/sep/16/instagram-posts/unfounded-claims-connect-fainting-royal-guard-covi/,A royal guard member collapsed because of the COVID-19 vaccine.,FALSE,
Photo shows Queen Elizabeth II checking the oil of a car.,https://www.politifact.com/factchecks/2022/sep/16/viral-image/no-isnt-real-photo-queen-elizabeth-ii-checking-car/,Photo shows Queen Elizabeth II checking the oil of a car.,FALSE,
